CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município e Região
Período:Fev/2020
"Município";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"420370 Canelinha";-;-;-;4;-;4
"420395 Capivari de Baixo";-;-;-;6;-;6
"420400 Catanduvas";-;-;-;2;-;2
"420410 Caxambu do Sul";-;-;-;3;-;3
"420420 Chapecó";-;-;-;47;-;47
"420440 Coronel Freitas";-;-;-;2;-;2
"420460 Criciúma";-;-;-;4;-;4
"420470 Cunha Porã";-;-;-;3;-;3
"420480 Curitibanos";-;-;-;2;-;2
"420500 Dionísio Cerqueira";-;-;-;11;-;11
"420530 Faxinal dos Guedes";-;-;-;2;-;2
"420540 Florianópolis";-;-;-;137;-;137
"420550 Fraiburgo";-;-;-;2;-;2
"420555 Frei Rogério";-;-;-;1;-;1
"420580 Garuva";-;-;-;7;-;7
"420650 Guaramirim";-;-;-;10;-;10
"420660 Guarujá do Sul";-;-;-;2;-;2
"420670 Herval d'Oeste";-;-;-;4;-;4
"420675 Ibiam";-;-;-;1;-;1
"420690 Ibirama";-;-;-;6;-;6
"420700 Içara";-;-;-;4;-;4
"420730 Imbituba";-;-;-;8;-;8
"420740 Imbuia";-;-;-;1;-;1
"420750 Indaial";-;-;-;3;-;3
"420760 Ipira";-;-;-;2;-;2
"420770 Ipumirim";-;-;-;2;-;2
"420780 Irani";-;-;-;7;-;7
"420790 Irineópolis";-;-;-;1;-;1
"420810 Itaiópolis";-;-;-;8;-;8
"420820 Itajaí";-;-;-;36;-;36
"420830 Itapema";-;-;-;3;-;3
"420850 Ituporanga";-;-;-;4;-;4
"420890 Jaraguá do Sul";-;-;-;27;-;27
"420910 Joinville";-;-;-;40;-;40
"420930 Lages";-;-;-;38;-;38
"420940 Laguna";-;-;-;12;-;12
"420970 Lebon Régis";-;-;-;6;-;6
"421000 Luiz Alves";-;-;-;1;-;1
"421005 Macieira";-;-;-;1;-;1
"421010 Mafra";-;-;-;8;-;8
"421030 Major Vieira";-;-;-;1;-;1
"421040 Maracajá";-;-;-;4;-;4
"421060 Massaranduba";-;-;-;4;-;4
"421070 Matos Costa";-;-;-;2;-;2
"421080 Meleiro";-;-;-;4;-;4
"421090 Modelo";-;-;-;1;-;1
"421100 Mondaí";-;-;-;1;-;1
"421160 Nova Veneza";-;-;-;29;-;29
"421190 Palhoça";-;-;-;15;-;15
"421250 Penha";-;-;-;10;-;10
"421270 Petrolândia";-;-;-;3;-;3
"421290 Pinhalzinho";-;-;-;4;-;4
"421320 Pomerode";-;-;-;6;-;6
"421330 Ponte Alta";-;-;-;1;-;1
"421335 Ponte Alta do Norte";-;-;-;1;-;1
"421340 Ponte Serrada";-;-;-;2;-;2
"421350 Porto Belo";-;-;-;6;-;6
"421360 Porto União";-;-;-;9;-;9
"421370 Pouso Redondo";-;-;-;5;-;5
"421380 Praia Grande";-;-;-;1;-;1
"421400 Presidente Getúlio";-;-;-;4;-;4
"421480 Rio do Sul";-;-;-;7;-;7
"421470 Rio dos Cedros";-;-;-;1;-;1
"421500 Rio Negrinho";-;-;-;1;-;1
"421530 Salete";-;-;-;2;-;2
"421550 Santa Cecília";-;-;-;7;-;7
"421580 São Bento do Sul";-;-;-;4;-;4
"421590 São Bonifácio";-;-;-;3;-;3
"421600 São Carlos";-;-;-;1;-;1
"421610 São Domingos";-;-;-;3;-;3
"421620 São Francisco do Sul";-;-;-;1;-;1
"421630 São João Batista";-;-;-;8;-;8
"421625 São João do Oeste";-;-;-;1;-;1
"421650 São Joaquim";-;-;-;4;-;4
"421660 São José";-;-;-;46;-;46
"421720 São Miguel do Oeste";-;-;-;9;-;9
"421750 Seara";-;-;-;4;-;4
"421760 Siderópolis";-;-;-;10;-;10
"421780 Taió";-;-;-;1;-;1
"421790 Tangará";-;-;-;6;-;6
"421800 Tijucas";-;-;-;15;-;15
"421810 Timbé do Sul";-;-;-;2;-;2
"421820 Timbó";-;-;-;1;-;1
"421825 Timbó Grande";-;-;-;1;-;1
"421870 Tubarão";-;-;-;7;-;7
"421880 Turvo";-;-;-;1;-;1
"421900 Urussanga";-;-;-;5;-;5
"421930 Videira";-;-;-;3;-;3
"421950 Xanxerê";-;-;-;8;-;8
"421960 Xavantina";-;-;-;1;-;1
"421970 Xaxim";-;-;-;9;-;9
"430020 Ajuricaba";-;-;-;1;-;1
"430040 Alegrete";-;-;-;6;-;6
"430063 Amaral Ferrador";-;-;-;2;-;2
"430087 Araricá";-;-;-;5;-;5
"430105 Arroio do Sal";-;-;-;2;-;2
"430120 Arroio do Tigre";-;-;-;1;-;1
"430130 Arroio Grande";-;-;-;4;-;4
"430140 Arvorezinha";-;-;-;6;-;6
"430155 Áurea";-;-;-;3;-;3
"430160 Bagé";-;-;-;14;-;14
"430190 Barra do Ribeiro";-;-;-;2;-;2
"430180 Barracão";-;-;-;2;-;2
"430210 Bento Gonçalves";-;-;-;3;-;3
"430245 Boqueirão do Leão";-;-;-;1;-;1
"430250 Bossoroca";-;-;-;4;-;4
"430265 Brochier";-;-;-;1;-;1
"430270 Butiá";-;-;-;2;-;2
"430290 Cacequi";-;-;-;4;-;4
"430300 Cachoeira do Sul";-;-;-;6;-;6
"430310 Cachoeirinha";-;-;-;8;-;8
"430340 Caiçara";-;-;-;2;-;2
"430350 Camaquã";-;-;-;8;-;8
"430380 Campinas do Sul";-;-;-;3;-;3
"430390 Campo Bom";-;-;-;13;-;13
"430400 Campo Novo";-;-;-;1;-;1
"430435 Candiota";-;-;-;4;-;4
"430450 Canguçu";-;-;-;5;-;5
"430460 Canoas";-;-;-;38;-;38
"430463 Capão da Canoa";-;-;-;8;-;8
"430466 Capão do Leão";-;-;-;5;-;5
"430467 Capivari do Sul";-;-;-;2;-;2
"430470 Carazinho";-;-;-;24;-;24
"430480 Carlos Barbosa";-;-;-;1;-;1
"430510 Caxias do Sul";-;-;-;69;-;69
"430535 Charqueadas";-;-;-;5;-;5
"430580 Constantina";-;-;-;3;-;3
"430590 Coronel Bicaco";-;-;-;1;-;1
"430605 Cristal";-;-;-;2;-;2
"430610 Cruz Alta";-;-;-;5;-;5
"430640 Dois Irmãos";-;-;-;2;-;2
"430645 Dois Lajeados";-;-;-;3;-;3
"430650 Dom Feliciano";-;-;-;3;-;3
"430670 Dona Francisca";-;-;-;3;-;3
"430680 Encantado";-;-;-;1;-;1
"430690 Encruzilhada do Sul";-;-;-;5;-;5
"430700 Erechim";-;-;-;15;-;15
"430720 Erval Grande";-;-;-;2;-;2
"430730 Erval Seco";-;-;-;12;-;12
"430750 Espumoso";-;-;-;10;-;10
"430755 Estação";-;-;-;6;-;6
"430760 Estância Velha";-;-;-;9;-;9
"430770 Esteio";-;-;-;22;-;22
"430790 Farroupilha";-;-;-;3;-;3
"430800 Faxinal do Soturno";-;-;-;2;-;2
"430810 Feliz";-;-;-;3;-;3
"430820 Flores da Cunha";-;-;-;18;-;18
"430850 Frederico Westphalen";-;-;-;1;-;1
"430860 Garibaldi";-;-;-;5;-;5
"430880 General Câmara";-;-;-;1;-;1
"430890 Getúlio Vargas";-;-;-;5;-;5
"430905 Glorinha";-;-;-;1;-;1
"430920 Gravataí";-;-;-;10;-;10
"430930 Guaíba";-;-;-;8;-;8
"431010 Igrejinha";-;-;-;4;-;4
"431020 Ijuí";-;-;-;8;-;8
"431033 Imbé";-;-;-;8;-;8
"431060 Itaqui";-;-;-;2;-;2
"431070 Itatiba do Sul";-;-;-;2;-;2
"431085 Jaboticaba";-;-;-;4;-;4
"431100 Jaguarão";-;-;-;8;-;8
"431110 Jaguari";-;-;-;1;-;1
"431112 Jaquirana";-;-;-;1;-;1
"431115 Jóia";-;-;-;4;-;4
"431130 Lagoa Vermelha";-;-;-;6;-;6
"431140 Lajeado";-;-;-;15;-;15
"431160 Liberato Salzano";-;-;-;10;-;10
"431175 Manoel Viana";-;-;-;1;-;1
"431177 Maquiné";-;-;-;1;-;1
"431198 Mariana Pimentel";-;-;-;1;-;1
"431220 Maximiliano de Almeida";-;-;-;1;-;1
"431225 Minas do Leão";-;-;-;2;-;2
"431244 Morrinhos do Sul";-;-;-;1;-;1
"431245 Morro Redondo";-;-;-;4;-;4
"431250 Mostardas";-;-;-;1;-;1
"431260 Muçum";-;-;-;4;-;4
"431270 Nonoai";-;-;-;10;-;10
"431290 Nova Bassano";-;-;-;5;-;5
"431306 Nova Hartz";-;-;-;3;-;3
"431320 Nova Petrópolis";-;-;-;1;-;1
"431330 Nova Prata";-;-;-;8;-;8
"431337 Nova Santa Rita";-;-;-;2;-;2
"431340 Novo Hamburgo";-;-;-;26;-;26
"431346 Novo Xingu";-;-;-;2;-;2
"431350 Osório";-;-;-;9;-;9
"431360 Paim Filho";-;-;-;3;-;3
"431370 Palmeira das Missões";-;-;-;7;-;7
"431390 Panambi";-;-;-;2;-;2
"431400 Paraí";-;-;-;3;-;3
"431402 Paraíso do Sul";-;-;-;1;-;1
"431405 Parobé";-;-;-;6;-;6
"431410 Passo Fundo";-;-;-;15;-;15
"431420 Pedro Osório";-;-;-;4;-;4
"431440 Pelotas";-;-;-;55;-;55
"431460 Piratini";-;-;-;2;-;2
"431480 Portão";-;-;-;5;-;5
"431490 Porto Alegre";-;-;-;271;-;271
"431520 Putinga";-;-;-;2;-;2
"431550 Restinga Seca";-;-;-;3;-;3
"431560 Rio Grande";-;-;-;26;-;26
"431575 Riozinho";-;-;-;4;-;4
"431590 Rodeio Bonito";-;-;-;5;-;5
"431600 Rolante";-;-;-;8;-;8
"431640 Rosário do Sul";-;-;-;10;-;10
"431660 Sananduva";-;-;-;4;-;4
"431710 Sant'Ana do Livramento";-;-;-;3;-;3
"431680 Santa Cruz do Sul";-;-;-;7;-;7
"431690 Santa Maria";-;-;-;79;-;79
"431720 Santa Rosa";-;-;-;6;-;6
"431730 Santa Vitória do Palmar";-;-;-;4;-;4
"431740 Santiago";-;-;-;7;-;7
"431750 Santo Ângelo";-;-;-;10;-;10
"431760 Santo Antônio da Patrulha";-;-;-;4;-;4
"431800 São Borja";-;-;-;3;-;3
"431810 São Francisco de Assis";-;-;-;4;-;4
"431820 São Francisco de Paula";-;-;-;6;-;6
"431830 São Gabriel";-;-;-;6;-;6
"431840 São Jerônimo";-;-;-;15;-;15
"431848 São José do Hortêncio";-;-;-;2;-;2
"431850 São José do Norte";-;-;-;4;-;4
"431860 São José do Ouro";-;-;-;4;-;4
"431870 São Leopoldo";-;-;-;56;-;56
"431880 São Lourenço do Sul";-;-;-;11;-;11
"431890 São Luiz Gonzaga";-;-;-;6;-;6
"431940 São Pedro do Sul";-;-;-;3;-;3
"431960 São Sepé";-;-;-;3;-;3
"431990 Sapiranga";-;-;-;18;-;18
"432000 Sapucaia do Sul";-;-;-;16;-;16
"432010 Sarandi";-;-;-;2;-;2
"432030 Selbach";-;-;-;2;-;2
"432050 Sertão";-;-;-;6;-;6
"432060 Severiano de Almeida";-;-;-;1;-;1
"432080 Soledade";-;-;-;2;-;2
"432120 Taquara";-;-;-;11;-;11
"432140 Tenente Portela";-;-;-;6;-;6
"432143 Terra de Areia";-;-;-;1;-;1
"432145 Teutônia";-;-;-;9;-;9
"432150 Torres";-;-;-;2;-;2
"432160 Tramandaí";-;-;-;7;-;7
"432170 Três Coroas";-;-;-;2;-;2
"432180 Três de Maio";-;-;-;1;-;1
"432183 Três Forquilhas";-;-;-;2;-;2
"432190 Três Passos";-;-;-;1;-;1
"432200 Triunfo";-;-;-;1;-;1
"432240 Uruguaiana";-;-;-;10;-;10
"432250 Vacaria";-;-;-;11;-;11
"432253 Vale do Sol";-;-;-;2;-;2
"432254 Vale Real";-;-;-;5;-;5
"432252 Vale Verde";-;-;-;2;-;2
"432260 Venâncio Aires";-;-;-;10;-;10
"432280 Veranópolis";-;-;-;2;-;2
"432290 Viadutos";-;-;-;3;-;3
"432300 Viamão";-;-;-;13;-;13
"432310 Vicente Dutra";-;-;-;2;-;2
"432320 Victor Graeff";-;-;-;1;-;1
"432370 Vista Gaúcha";-;-;-;4;-;4
"432380 Xangri-lá";-;-;-;9;-;9
"500020 Água Clara";-;-;-;-;2;2
"500060 Amambai";-;-;-;-;1;1
"500070 Anastácio";-;-;-;-;1;1
"500085 Angélica";-;-;-;-;1;1
"500110 Aquidauana";-;-;-;-;4;4
"500124 Aral Moreira";-;-;-;-;2;2
"500150 Bandeirantes";-;-;-;-;3;3
"500200 Batayporã";-;-;-;-;3;3
"500215 Bodoquena";-;-;-;-;2;2
"500220 Bonito";-;-;-;-;2;2
"500230 Brasilândia";-;-;-;-;2;2
"500260 Camapuã";-;-;-;-;3;3
"500270 Campo Grande";-;-;-;-;233;233
"500280 Caracol";-;-;-;-;2;2
"500290 Cassilândia";-;-;-;-;2;2
"500295 Chapadão do Sul";-;-;-;-;2;2
"500325 Costa Rica";-;-;-;-;1;1
"500370 Dourados";-;-;-;-;45;45
"500430 Iguatemi";-;-;-;-;2;2
"500460 Itaquiraí";-;-;-;-;2;2
"500470 Ivinhema";-;-;-;-;3;3
"500525 Laguna Carapã";-;-;-;-;2;2
"500540 Maracaju";-;-;-;-;10;10
"500560 Miranda";-;-;-;-;5;5
"500568 Mundo Novo";-;-;-;-;1;1
"500570 Naviraí";-;-;-;-;11;11
"500580 Nioaque";-;-;-;-;3;3
"500600 Nova Alvorada do Sul";-;-;-;-;4;4
"500620 Nova Andradina";-;-;-;-;3;3
"500625 Novo Horizonte do Sul";-;-;-;-;1;1
"500630 Paranaíba";-;-;-;-;6;6
"500635 Paranhos";-;-;-;-;1;1
"500640 Pedro Gomes";-;-;-;-;2;2
"500660 Ponta Porã";-;-;-;-;15;15
"500710 Ribas do Rio Pardo";-;-;-;-;2;2
"500720 Rio Brilhante";-;-;-;-;1;1
"500730 Rio Negro";-;-;-;-;2;2
"500740 Rio Verde de Mato Grosso";-;-;-;-;3;3
"500755 Santa Rita do Pardo";-;-;-;-;1;1
"500769 São Gabriel do Oeste";-;-;-;-;4;4
"500790 Sidrolândia";-;-;-;-;4;4
"500795 Tacuru";-;-;-;-;3;3
"500830 Três Lagoas";-;-;-;-;21;21
"500840 Vicentina";-;-;-;-;2;2
"510020 Água Boa";-;-;-;-;9;9
"510025 Alta Floresta";-;-;-;-;3;3
"510060 Alto Taquari";-;-;-;-;4;4
"510125 Araputanga";-;-;-;-;2;2
"510140 Aripuanã";-;-;-;-;4;4
"510180 Barra do Garças";-;-;-;-;8;8
"510190 Brasnorte";-;-;-;-;5;5
"510250 Cáceres";-;-;-;-;8;8
"510263 Campo Novo do Parecis";-;-;-;-;8;8
"510267 Campo Verde";-;-;-;-;2;2
"510268 Campos de Júlio";-;-;-;-;2;2
"510279 Carlinda";-;-;-;-;1;1
"510300 Chapada dos Guimarães";-;-;-;-;6;6
"510320 Colíder";-;-;-;-;11;11
"510325 Colniza";-;-;-;-;2;2
"510337 Cotriguaçu";-;-;-;-;4;4
"510340 Cuiabá";-;-;-;-;97;97
"510410 Guarantã do Norte";-;-;-;-;4;4
"510420 Guiratinga";-;-;-;-;4;4
"510455 Itaúba";-;-;-;-;1;1
"510460 Itiquira";-;-;-;-;4;4
"510515 Juína";-;-;-;-;11;11
"510520 Juscimeira";-;-;-;-;4;4
"510523 Lambari D'Oeste";-;-;-;-;10;10
"510525 Lucas do Rio Verde";-;-;-;-;11;11
"510562 Mirassol d'Oeste";-;-;-;-;5;5
"510590 Nobres";-;-;-;-;4;4
"510885 Nova Marilândia";-;-;-;-;2;2
"510895 Nova Monte Verde";-;-;-;-;2;2
"510623 Nova Olímpia";-;-;-;-;1;1
"510619 Nova Santa Helena";-;-;-;-;2;2
"510625 Nova Xavantina";-;-;-;-;2;2
"510628 Novo São Joaquim";-;-;-;-;1;1
"510680 Porto dos Gaúchos";-;-;-;-;2;2
"510700 Poxoréo";-;-;-;-;11;11
"510760 Rondonópolis";-;-;-;-;24;24
"510774 Santa Cruz do Xingu";-;-;-;-;2;2
"510726 Santo Afonso";-;-;-;-;1;1
"510785 São Félix do Araguaia";-;-;-;-;2;2
"510787 Sapezal";-;-;-;-;1;1
"510790 Sinop";-;-;-;-;29;29
"510792 Sorriso";-;-;-;-;19;19
"510794 Tabaporã";-;-;-;-;1;1
"510795 Tangará da Serra";-;-;-;-;27;27
"510805 Terra Nova do Norte";-;-;-;-;3;3
"510820 Torixoréu";-;-;-;-;2;2
"510840 Várzea Grande";-;-;-;-;7;7
"520025 Águas Lindas de Goiás";-;-;-;-;11;11
"520110 Anápolis";-;-;-;-;33;33
"520140 Aparecida de Goiânia";-;-;-;-;7;7
"520170 Aragarças";-;-;-;-;2;2
"520235 Arenópolis";-;-;-;-;1;1
"520340 Bom Jardim de Goiás";-;-;-;-;1;1
"520350 Bom Jesus de Goiás";-;-;-;-;3;3
"520400 Cabeceiras";-;-;-;-;2;2
"520425 Cachoeira Dourada";-;-;-;-;3;3
"520430 Caçu";-;-;-;-;3;3
"520450 Caldas Novas";-;-;-;-;6;6
"520465 Campinaçu";-;-;-;-;3;3
"520470 Campinorte";-;-;-;-;1;1
"520495 Campos Verdes";-;-;-;-;6;6
"520510 Catalão";-;-;-;-;8;8
"520530 Cavalcante";-;-;-;-;2;2
"520540 Ceres";-;-;-;-;7;7
"520549 Cidade Ocidental";-;-;-;-;11;11
"520551 Cocalzinho de Goiás";-;-;-;-;2;2
"520620 Cristalina";-;-;-;-;1;1
"520660 Cumari";-;-;-;-;1;1
"520670 Damianópolis";-;-;-;-;1;1
"520725 Doverlândia";-;-;-;-;1;1
"520753 Faina";-;-;-;-;2;2
"520790 Flores de Goiás";-;-;-;-;2;2
"520800 Formosa";-;-;-;-;13;13
"520810 Formoso";-;-;-;-;2;2
"520815 Gameleira de Goiás";-;-;-;-;1;1
"520860 Goianésia";-;-;-;-;8;8
"520870 Goiânia";-;-;-;-;261;261
"520880 Goianira";-;-;-;-;2;2
"520920 Guapó";-;-;-;-;4;4
"520980 Hidrolina";-;-;-;-;2;2
"520995 Indiara";-;-;-;-;2;2
"521000 Inhumas";-;-;-;-;4;4
"521010 Ipameri";-;-;-;-;18;18
"521020 Iporá";-;-;-;-;9;9
"521060 Itaguaru";-;-;-;-;1;1
"521120 Itapuranga";-;-;-;-;3;3
"521150 Itumbiara";-;-;-;-;8;8
"521160 Ivolândia";-;-;-;-;1;1
"521220 Jussara";-;-;-;-;2;2
"521250 Luziânia";-;-;-;-;5;5
"521270 Mambaí";-;-;-;-;1;1
"521308 Minaçu";-;-;-;-;11;11
"521310 Mineiros";-;-;-;-;2;2
"521380 Morrinhos";-;-;-;-;3;3
"521390 Mossâmedes";-;-;-;-;1;1
"521450 Nerópolis";-;-;-;-;2;2
"521483 Nova Crixás";-;-;-;-;8;8
"521523 Novo Gama";-;-;-;-;3;3
"521565 Palestina de Goiás";-;-;-;-;2;2
"521570 Palmeiras de Goiás";-;-;-;-;1;1
"521600 Panamá";-;-;-;-;1;1
"521680 Petrolina de Goiás";-;-;-;-;4;4
"521710 Piracanjuba";-;-;-;-;4;4
"521730 Pirenópolis";-;-;-;-;4;4
"521740 Pires do Rio";-;-;-;-;5;5
"521760 Planaltina";-;-;-;-;4;4
"521770 Pontalina";-;-;-;-;1;1
"521830 Posse";-;-;-;-;1;1
"521850 Quirinópolis";-;-;-;-;7;7
"521880 Rio Verde";-;-;-;-;27;27
"521910 Santa Bárbara de Goiás";-;-;-;-;3;3
"521925 Santa Fé de Goiás";-;-;-;-;2;2
"521930 Santa Helena de Goiás";-;-;-;-;1;1
"522000 São João d'Aliança";-;-;-;-;2;2
"522010 São Luís de Montes Belos";-;-;-;-;5;5
"522045 Senador Canedo";-;-;-;-;5;5
"522060 Silvânia";-;-;-;-;1;1
"522068 Simolândia";-;-;-;-;1;1
"522108 Teresina de Goiás";-;-;-;-;4;4
"522140 Trindade";-;-;-;-;16;16
"522155 Turvelândia";-;-;-;-;1;1
"522170 Uruana";-;-;-;-;2;2
"522185 Valparaíso de Goiás";-;-;-;-;26;26
"522220 Vila Boa";-;-;-;-;1;1
"530010 Brasília";-;-;-;-;886;886
"Total";1958;5860;10694;3745;2314;24571
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
